popularity,title,vote_average,vote_count,release_year,genero,director,Actor_principal,combined_features
0.022545773002891827,Les Girls,0.6400000000000001,0.0007815275310834813,0.444444444444444,3,3177,3217,3 3177 3217
0.020295947398206456,The Oxford Murders,0.5700000000000001,0.013570159857904085,0.9166666666666649,4,10001,2661,4 10001 2661
0.03712891910754989,Private Parts,0.67,0.007531083481349911,0.814814814814816,3,978,3726,3 978 3726
3.959746336509279e-05,Blood Shack,0.18000000000000002,0.0004262877442273535,0.574074074074074,11,7737,1472,11 7737 1472
0.025498887608557695,Get Carter,0.6900000000000001,0.00866785079928952,0.574074074074074,4,6646,6652,4 6646 6652
0.009774485192546409,Stratton,0.48,0.001847246891651865,0.9999999999999999,0,8715,2400,0 8715 2400
2.2650904183189507e-05,Life and Nothing But,0.6400000000000001,0.000497335701598579,0.7407407407407399,18,968,7707,18 968 7707
0.002798244526726837,Zombies of Mora Tau,0.58,0.000497335701598579,0.444444444444444,1,2571,3435,1 2571 3435
0.0031846858714715057,Sugar Hill,0.5599999999999999,0.0012078152753108348,0.601851851851851,4,7277,6326,4 7277 6326
0.004215235761224422,Made for Each Other,0.49000000000000005,0.000497335701598579,0.27777777777777796,3,4645,1468,3 4645 1468
0.0020789160899208074,That Kind of Woman,0.6000000000000001,7.104795737122558e-05,0.462962962962964,6,8682,8923,6 8682 8923
0.005941189133942355,Silentium,0.7200000000000001,0.0015630550621669626,0.8796296296296289,3,9813,4804,3 9813 4804
0.001723653288402347,Dunno on the Moon,0.7000000000000001,0.0004262877442273535,0.814814814814816,1,257,9717,1 257 9717
0.008254442026792713,The Visit,0.66,0.0005683836589698046,0.509259259259259,6,960,3823,6 960 3823
0.003013185197665713,Mobile Suit Gundam II: Soldiers of Sorrow,0.68,0.0006394316163410302,0.666666666666666,2,9909,9638,2 9909 9638
0.0016090126014586894,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,0.6900000000000001,0.000852575488454707,0.5833333333333329,6,7288,4518,6 7288 4518
7.500585145526845e-05,Men of Means,0.0,0.0,0.8333333333333339,6,3196,6721,6 3196 6721
0.0019041368616622202,Fire in Babylon,0.52,0.00035523978685612787,0.9444444444444459,5,8865,3770,5 8865 3770
0.01544673093738703,The Lavender Hill Mob,0.73,0.004262877442273535,0.38888888888888795,3,1435,207,3 1435 207
0.00758111867376418,Someone I Loved,0.6000000000000001,0.0012078152753108348,0.9259259259259239,3,9950,2044,3 9950 2044
0.0016354380900947848,The Stone Boy,0.5700000000000001,0.00021314387211367674,0.694444444444445,6,1626,4179,6 1626 4179
0.0028710827950309318,Dead Man's Burden,0.53,0.0004262877442273535,0.9537037037037049,6,4176,914,6 4176 914
0.003998813795216719,I Don't Kiss,0.68,0.00035523978685612787,0.7592592592592579,6,568,7707,6 568 7707
0.02686268132427616,Dr. Dolittle 2,0.49000000000000005,0.029982238010657192,0.851851851851852,3,8878,2569,3 8878 2569
0.01210716479457923,Son of Frankenstein,0.7000000000000001,0.002984014209591474,0.27777777777777796,11,8254,937,11 8254 937
0.04556831917000074,The Last Witch Hunter,0.5700000000000001,0.0955595026642984,0.981481481481482,8,1121,9785,8 1121 9785
0.004796644075739079,Let's Do It Again,0.77,0.0007104795737122557,0.6111111111111119,3,8684,8838,3 8684 8838
0.016239118477771177,Babes in Arms,0.65,0.000994671403197158,0.27777777777777796,6,1276,6808,6 1276 6808
0.01941302758787039,Dom Hemingway,0.58,0.015133214920071048,0.962962962962964,3,7894,4894,3 7894 4894
0.008229351742198014,"A Reason to Live, a Reason to Die",0.5900000000000001,0.0007815275310834813,0.5833333333333329,19,9400,4024,19 9400 4024
0.006924592391424366,Intruder in the Dust,0.78,0.0002841918294849023,0.37037037037036996,6,1686,2150,6 1686 2150
0.028821530974443867,The Light Between Oceans,0.6900000000000001,0.028632326820603907,0.990740740740741,6,2297,6670,6 2297 6670
0.043956697314842835,Laggies,0.61,0.03069271758436945,0.9722222222222229,3,5857,5215,3 5857 5215
0.0018511601781571244,On the Edge,0.7400000000000001,0.0009236234458259325,0.851851851851852,6,4640,1793,6 4640 1793
0.0026909695455382653,Seven Sinners,0.66,0.00035523978685612787,0.287037037037037,3,9121,6334,3 9121 6334
0.0016196092971460104,Ladybug Ladybug,0.66,0.00035523978685612787,0.5,6,2951,9965,6 2951 9965
0.01024442265566607,Owning Mahowny,0.68,0.0026287744227353462,0.8703703703703699,4,7867,7700,4 7867 7700
0.010702992198372209,Guest House Paradiso,0.63,0.0029129662522202485,0.8333333333333339,3,96,8079,3 96 8079
0.00216272137767943,Carlton-Browne of the F.O.,0.8300000000000001,0.00014209591474245115,0.462962962962964,3,8257,9292,3 8257 9292
0.008914403147010013,Le Jaguar,0.55,0.003978685612788632,0.8055555555555569,1,2911,4248,1 2911 4248
0.013471074024133339,The Three Brothers,0.7200000000000001,0.008454706927175844,0.796296296296298,3,948,7434,3 948 7434
